IRGC_ID,COUNTRY,LAT,LON,bdodmean,cecmean,cfvomean,claymean,nitrogenmean,phh2omean,sandmean,siltmean,socmean,ocdmean,T_ESP,T_ECE,S_ESP,S_ECE,pawc,moist
IRGC_10214,Vietnam,16.472778,106.660556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_10233,Vietnam,16,106,1.37,13.9,11.6,30,0.67,5.7,37,33,6.8,10.3,1,0.1,2,0.1,245.8500061,62
IRGC_109210,Myanmar,16,95,1.02,27.5,15.5,33.1,1.85,6.2,23.6,43.3,39.3,17.7,17,0.1,15,0.1,234.3130035,200
IRGC_111372,Myanmar,20.94463483,96.51316183,1.33,17.5,23.5,38.3,0.86,6.2,30.2,31.5,7.7,7.6,1,0.1,2,0.1,249.1390076,62
IRGC_111373,Myanmar,20.94463483,96.51316183,1.33,17.5,23.5,38.3,0.86,6.2,30.2,31.5,7.7,7.6,1,0.1,2,0.1,249.1390076,62
IRGC_11462,Thailand,16,103,1.52,15.8,20,37.2,0.39,5.8,36.1,26.7,4.5,6.7,3,0.1,4,0.1,235.0130005,110
IRGC_117398,India,21.127778,82.800556,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRGC_122298,Indonesia,-4.8133889,104.7520944,1.25,17.4,6.1,59.1,0.61,5.2,14.9,26,53.6,8.3,2,0.1,2,0.1,239.628006,110
IRGC_12440,India,25.51667,90.2,1.29,16.5,22.4,37.7,1.03,5.2,36,26.3,8.3,7.5,1,0.1,1,0.1,241.947998,110
IRGC_12931,Laos,15.383056,106.2,1.27,16.6,21.8,33.3,1.31,5.4,36.3,30.4,8.3,9.4,2,0.1,2,0.1,233.7779999,98
IRGC_14975,Vietnam,11.616389,106.649722,1.28,13.5,16.5,37.7,0.9,5.4,28.9,33.5,8.3,9,1,0.1,2,0.1,233.2449951,110
IRGC_16724,Vietnam,16.472778,106.660556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_16800,Vietnam,16.472778,106.660556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_16871,Vietnam,11,108,1.4,18.8,7.7,39.3,0.55,6.5,28.2,32.5,3.8,10.6,1,0.1,1,0.1,225.4429932,110
IRGC_16872,Vietnam,16.472778,106.660556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_19928,India,21.127778,82.800556,1.67,29.2,23.1,42.2,0.52,7.2,22.8,35,3.4,6.2,1,0.1,1,0.1,220.5570068,110
IRGC_20224,India,25,93,1.19,16.7,27.2,35.9,2.95,5.2,28.8,35.3,7.2,8.4,1,0.1,1,0.1,221.9219971,200
IRGC_20282,India,25.83333333,93.43333333,1.41,16.4,22.5,45.9,1.49,5.7,29,25.1,13.5,7.1,2,0.1,2,0.1,241.3040009,110
IRGC_20297,India,25.83333333,93.43333333,1.41,16.4,22.5,45.9,1.49,5.7,29,25.1,13.5,7.1,2,0.1,2,0.1,241.3040009,110
IRGC_20334,India,26,94,1.26,17.3,29.5,39.4,3.36,5.3,27.2,33.4,9,8.6,1,0.1,2,0.1,249.404007,62
IRGC_20354,India,26,94,1.26,17.3,29.5,39.4,3.36,5.3,27.2,33.4,9,8.6,1,0.1,2,0.1,249.404007,62
IRGC_20380,India,27,94,1.36,16,16.5,31.1,4.82,5.7,40.5,28.4,6.8,8.1,1,0.1,2,0.1,241.6880035,110
IRGC_20405,India,25.83333333,93.43333333,1.41,16.4,22.5,45.9,1.49,5.7,29,25.1,13.5,7.1,2,0.1,2,0.1,241.3040009,110
IRGC_20428,India,25.83333333,93.43333333,1.41,16.4,22.5,45.9,1.49,5.7,29,25.1,13.5,7.1,2,0.1,2,0.1,241.3040009,110
IRGC_21324,India,26,91,1.39,16.3,14.3,38.4,2.32,6,29.4,32.2,12.3,6.3,1,0.1,2,0.1,246.1519928,110
IRGC_21336,India,25.51667,90.2,1.29,16.5,22.4,37.7,1.03,5.2,36,26.3,8.3,7.5,1,0.1,1,0.1,241.947998,110
IRGC_21852,India,27,95,1.34,13.3,12.3,28.1,2.89,5.4,39.7,32.2,10.5,6.8,2,0.1,2,0.1,241.3040009,110
IRGC_21874,India,27,95,1.34,13.3,12.3,28.1,2.89,5.4,39.7,32.2,10.5,6.8,2,0.1,2,0.1,241.3040009,110
IRGC_22108,India,26,94,1.26,17.3,29.5,39.4,3.36,5.3,27.2,33.4,9,8.6,1,0.1,2,0.1,249.404007,62
IRGC_22922,Cambodia,11.98333,105.45,1.34,18.5,12.5,32,0.92,5.6,27.2,40.8,6.5,12.9,2,0.1,3,0.1,238.602005,200
IRGC_24108,Thailand,13.039444,101.491944,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRGC_24224,Thailand,13.039444,101.491944,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRGC_25928,Bangladesh,24.83333,91.83333,1.36,16.6,11.8,28.7,1.23,5.6,49.3,22,12.4,8.7,2,0.1,2,0.1,230.4100037,200
IRGC_27642,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27664,Thailand,19,99,1.4,10.2,25.4,36.3,0.42,5.7,41.5,22.2,4.5,5.6,1,0.1,2,0.1,237.2030029,200
IRGC_27674,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27684,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27688,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27690,Thailand,19,97,1.28,14.2,28.3,38.7,0.83,5.6,33.9,27.4,8,7.1,1,0.1,2,0.1,249.1390076,62
IRGC_27704,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27706,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27712,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27714,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27718,Thailand,18,99,1.34,17.7,23.1,37.6,0.63,6.2,40.1,22.3,8.4,7.3,1,0.1,2,0.1,249.1390076,62
IRGC_27720,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27721,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_27754,Thailand,14,102,1.46,17.6,7.6,38.1,0.63,6.5,30.1,31.7,4.2,7.6,2,0.1,2,0.1,249.1390076,98
IRGC_27762,Thailand,13.039444,101.491944,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRGC_30238,Thailand,13.039444,101.491944,1.44,14.8,12.1,33.7,0.42,6,31.5,34.8,4.9,8.6,3,0.1,2,0.1,244.2519989,98
IRGC_31,Malaysia,2.030278,109.6425,1.15,13.9,13.6,40.2,0.8,5.4,33.7,26.1,31.7,8.7,3,0.1,6,0.1,257.947998,80
IRGC_32029,Thailand,17,99,1.39,12.6,14,34.6,0.62,6.2,35.4,30,5,9,1,0.1,2,0.1,244.2519989,98
IRGC_32033,Thailand,17,99,1.39,12.6,14,34.6,0.62,6.2,35.4,30,5,9,1,0.1,2,0.1,244.2519989,98
IRGC_32035,Thailand,14.98098321,101.0027948,1.55,28.1,20.2,48.9,0.57,6.6,22.4,28.7,4.9,7.2,1,0.1,2,0.1,209.7740021,52
IRGC_32178,Vietnam,16,106,1.37,13.9,11.6,30,0.67,5.7,37,33,6.8,10.3,1,0.1,2,0.1,245.8500061,62
IRGC_32189,Vietnam,16.47277778,106.6605556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_32210,Vietnam,16.47277778,106.6605556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_32576,Vietnam,16.472778,106.660556,1.3,17.7,16.1,46.4,0.73,5.7,27.1,26.5,8.2,9.8,1,0.1,2,0.1,249.1390076,62
IRGC_33074,Myanmar,18.683611,96.683056,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRGC_33085,Myanmar,18.683611,96.683056,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRGC_33176,Myanmar,16.66667,94.83333,1.29,25.8,18,37.9,2.21,6.6,25.3,36.8,33.9,15.1,2,0.1,2,0.1,260.0100098,200
IRGC_33189,Myanmar,18.683611,96.683056,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRGC_33562,Myanmar,18.683611,96.683056,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRGC_33888,Myanmar,18.683611,96.683056,1.38,20.6,22.9,32.8,0.79,5.5,36.6,30.6,11.1,6.5,2,0.1,2,0.1,220.6580048,164
IRGC_37764,Bangladesh,23.611667,90.339722,1.35,18.6,8,45.3,1.27,5.7,24.1,30.7,24.3,9.2,2,0.1,2,0.1,230.4100037,200
IRGC_40673,Thailand,16.443889,100.347778,1.45,18.1,9.6,40.6,0.42,6.4,23.9,35.5,7.8,7.2,2,0.1,3,0.1,238.602005,200
IRGC_43249,India,24.999722,94.499722,1.22,17.8,32.8,30.6,5.25,5.5,33,36.4,11.4,8.1,1,0.1,2,0.1,267.2160034,62
